Color Values,Point Values
-5315029,-1915526244
-771114,-805579742
-6340309,-1415171050
-6507681,1583294953
-16547250,270491565
-4140345,1793873191
-8264719,-517016035
-7615993,-1302547210
-13159448,-1249957651
-3782800,-1970332291
-6657734,1106562713
-2373960,-1402122020
-11247211,-1972378434
-2155223,-1210846407
-2868525,127660505
-11459041,1301213215
-2422765,1916512007
-14782132,-1450371453
-13611062,-1897063300
-4855498,-950744600
-10992585,1272938385
-1396355,-566410024
-1831961,1702757937
-1096972,-77417567
-6126782,-1892024397
-4309843,1636977354
-13328592,-1795859959
-14341741,-1913816404
-14083683,-2127004776
-12100085,-618282977
-84954,-846110978
-10554504,-1820263189
-9631572,594069861
-9539480,-1908435443
-7392044,1783947260
-16159742,-1770488502
-12935426,-625642408
-11807675,1099625297
-6445494,483220090
-7217832,-1471966716
-9982232,-443505108
-2982395,-983420660
-4427194,1121347214
-6169831,1290698897
-10867168,1380712663
-1694130,-1658790969
-14376745,-1892313444
-176153,-1954771916
-12603739,372606067
-2081348,-1643740443
-13415571,-1773789935
-12063737,1401162424
-9770767,-973973300
-4022476,-1941135664
-10610593,-1654726173
-9577771,-924829142
-16691858,946892720
-5860113,1408002957
-14783867,1283447231
-4067292,-1710538764
-3959129,-657148867
-9730326,-33775014
-665817,-1728180490
-769396,-1206128804
-8040455,-1514067418
-7057659,836012693
-13386216,1822105573
-8015127,1960864091
-16145235,-441014161
-9686930,-136002088
-6396430,934898113
-9937931,1725006298
-9221798,147400896
-4837484,-165046515
-5732618,-26367847
-14783517,1424311658
-16365621,799728672
-3739271,1532903846
-8763868,-1674188366
-10196934,2078282462
-394265,1023075979
-10347686,640994930
-13968726,1070727408
-16299964,-1826140689
-3800218,2109570778
-10163912,285886190
-7113561,-142480822
-6611738,1269491564
-3138334,-366901231
-5062524,923183623
-5951226,-889304668
-8261599,-464479241
-2244532,-444321789
-15012304,-436718751
-1119850,1562161576
-7956270,596709209
-15840876,-109290829
-6002393,553324345
-13551552,727158520
-14477622,1810980551
-1388130,1966337274
-7450294,-512386460
-11039942,-2082950870
-8537305,1308631946
-3439114,553870879
-3598091,1313158124
-8540893,2091310901
-11905077,502622557
-14802975,454642325
-15198601,1971314985
-634728,1627917911
-12168475,-670609869
-8938163,-1188762261
-7452423,-1599337281
-9445830,-206702756
-14229900,-854942238
-8557935,272829619
-3449412,-389661598
-10364550,1833934014
-15736134,1550521572
-16683774,951315865
-10971289,1636947860
-10908316,1755310902
-2461407,-1367258368
-5182073,487660292
-15002589,748953954
-16162529,914361339
-2775567,-630538576
-14854751,-1397959150
-7421305,1959683991
-1062060,179406656
-14189114,191317011
-6788101,1392876844
-300025,-461286009
-7101797,-337301939
-6759911,2006549142
-10445588,1442846826
-4179429,1030697233
-5923728,297337623
-14465962,-1981112013
-8440142,-970208729
-1925720,-1088340165
-13564633,-991286644
-14938089,1249769600
-8011455,-1407901804
-12032039,-851745106
-1278739,-1150466774
-16695441,201321666
-4614887,555954099
-14469656,-449943392
-11083550,-1153149736
-4656363,1297518470
-14654643,502693070
-5165343,1883425310
-13412507,-322159296
-15171425,-489001033
-9619371,-849875551
-1715398,-1536796050
-7035330,-1589242839
-4260423,77970007
-12747485,1514498962
-6274472,626663179
-4648167,1814210425
-12947068,763653319
-9841516,-635059591
-3418525,1301310319
-11285091,1425633706
-16355908,329479307
-6104951,1761714474
-420890,-1645044368
-15249342,-857352436
-3533583,-840413439
-13781730,1348960734
-6162135,2109881299
-7927104,971300276
-2036999,151928075
-12526016,-1945946786
-12137129,476241666
-4264488,-306914041
-5212008,-56504801
-5448168,-672916680
-6988866,-1993917312
-14338230,-1356722997
-3944095,2068916092
-770022,1975389493
-6760764,-930479271
-11090852,-606190077
-377510,-382366629
-6227209,1369296956
-2476132,427282490
-10184389,1479943700
-14533579,-808595528
-5673941,-75038316
-16661374,-288345756
-9733235,1922903611
-3035180,1502737663
-6429196,-603762004
-12931617,665960177
-13269250,338968279
-3423651,-1103486044
-10261314,-621290259
-12505247,-1284101256
-7216289,-1281939798
-9365009,-930368758
-16380649,-1413606851
-10780970,448808866
-9816958,-1214910567
-6180730,-1589616621
-15742836,-570891317
-12454589,-942985832
-13924638,757645187
-7404940,-196549398
-146792,-225576347
-9980840,1798551545
-682122,1085099357
-8490208,-648312166
-8645867,2124793943
-6356222,-508412610
-3481630,805560259
-6198609,1533986830
-1515867,-1433516616
-14220583,1301332337
-10911022,-1907119734
-9136300,-32825617
-7756048,1021464430
-10937752,647699542
-1486211,1123733813
-15640830,-1847893646
-4969684,449936316
-7855945,-1240620519
-4026069,2085934614
-7965857,738041427
-10569813,-468364211
-7354982,-2023964182
-73991,1080836143
-4629370,-762524055
-7347603,1422116301
-16570799,247272090
-1834371,1014265259
-9414778,636317517
-5070029,391310981
-8857573,1613651626
-5229894,1146280420
-14086500,1374667018
-4701461,-1482363646
-5780277,128694430
-3658091,1340598795
-2285168,-380868632
-11955581,-793108522
-9746747,1233923502
-15153711,44133496
-7473968,-1801501650
-1670413,752723142
-12392341,729532540
-4508383,-661671415
-1204636,1077805906
-7440743,1127894402
-5939302,1025067691
-8123461,-1160815447
-8846889,52904248
-11945590,-1671792185
-4608661,354128546
-5369778,-1925002233
-10528493,2132743322
-14347398,-1871740855
-1989813,2006333017
-2723475,-193611201
-1972553,-1940669156
-10159351,-750940615
-7958112,-1082513892
-11896890,-2047049609
-7757967,2083038319
-6244949,-1325122289
-12571629,-1813048946
-4802856,-1969695251
-2878277,408390355
-9154420,-1372466561
-15203778,-606446134
-16005517,940909224
-14141587,-949478272
-12028654,974242044
-10082070,-367561692
-5888193,925578790
-1607386,1915172021
-15714453,1244884367
-165361,955251205
-1476210,-2110086047
-3749996,908679245
-11299481,1579819880
-1175120,-1215258452
-15325675,-1516063652
-4542543,-802776101
-6715323,1281310015
-4889517,1345964754
-12844005,-1371137683
-15063787,1281341660
-4131642,205623402
-15015677,-1337327365
-10721325,-1002503842
-15470434,-502433957
-6810565,-10749491
-14103878,-1132233057
-14473347,-140831347
-15721204,150995884
-16657958,-202963228
-10021697,-230561907
-4322368,1333921594
-3103688,631802086
-15054396,1284261459
-8157763,2115506021
-12599541,1202693094
-997775,1358058580
-4852588,-1216563508
-1264629,-1465885007
-2249367,686382071
-10475192,-1883364684
-13068312,519682907
-6930691,2125047799
-11293790,455912791
-8463192,2064481816
-13027430,1139559988
-15086768,1939456581
-11967886,-383722214
-6167672,897508590
-16689505,-834084482
-5406146,437947548
-15267155,-927790455
-12292318,1074349910
-3885325,925671499
-1058261,1635513661
-10672997,-908068860
-7560135,1281868304
-10963997,1890803747
-16190233,-14813847
-2009986,214837418
-592594,-861626227
-8580902,-1124214484
-7639706,1058804823
-11861162,-908302963
-4364276,1755080036
-15916845,-1056363517
-5162480,-371315762
-8723262,1363508540
-8856521,-601518476
-11311538,-242308009
-5803892,-980930345
-5336844,1613432996
-16323672,-627493729
-16053383,753957069
-6757998,-1165658353
-8102812,-2023115658
-1126504,-1918749811
-10357575,-97083467
-16515569,-364995188
-3608908,356202290
-7305387,1126062327
-1605013,723390711
-9078037,563550422
-10134117,-432418125
-4564934,-843963613
-8553849,97231627
-3207819,1342501756
-5674420,-1169606587
-11363602,1579392575
-12869354,124465530
-959295,1863770381
-16740971,1170054713
-13551577,1447405526
-632774,706431520
-417729,-1960661264
-6985863,-1895538403
-4169910,327271735
-11749327,-99800828
-10644843,-1544565122
-5747108,1639697928
-15770979,-477624189
-9954579,-286946585
-10904821,-634791428
-9364105,-1349165372
-7870180,-316667836
-8453474,1563508812
-12906488,1747611149
-12024881,1348411028
-8947231,2053117376
-16235097,1257987309
-14921772,-1665064211
-3521447,-115729160
-1935095,509574929
-12447621,-348929808
-12708407,-1000451448
-10630187,-1429457363
-178733,-154909774
-15490431,-1710690663
-5244749,64191427
-2249715,1547084311
-12398008,-271196115
-7496853,990109510
-16611258,-1245553242
-840031,2021353932
-6900440,-1387240940
-3388904,2142276343
-9233432,965397592
-15605745,1020018546
-1799868,-1155415458
-657552,-689001848
-3474195,-1258113851
-10253586,-2112054460
-9882738,1425376285
-7555557,1217533549
-2460731,112202642
-3439838,-748414210
-1030059,2060191292
-11507242,922126134
-8360241,-1780159026
-3125854,535728533
-15409680,-359395608
-9052362,-1514048531
-4089316,1698639672
-1106362,-2035020968
-11058740,1971960855
-2480558,418090822
-7436749,855199522
-1885795,-1690426142
-15716900,-610743534
-8904557,-1056219164
-15978390,-1401642498
-8465424,-1210228570
-3165153,813913566
-2953268,-1138783011
-6023065,2069508583
-12875104,-234892143
-15828046,-883246214
-11992773,-815526308
-2103993,-1149343765
-12835639,-1318413435
-7855203,-548657718
-16043198,406884086
-5982623,1350458224
-10341768,1943561168
-12000763,116393947
-11484153,256866894
-7548896,948372348
-7386758,1175153963
-6685065,-2110908294
-15870578,2144084269
-688439,-23238524
-2392313,-1186081810
-7326456,1358669534
-9921516,-1750191684
-15443218,-653137949
-13136948,-1528827100
-16101043,-808312276
-15488572,2004520690
-2483181,-1283960539
-1024354,1300612084
-14160843,-1873653860
-4710164,-925732530
-4194655,612380565
-10230599,338232790
-8463259,-2010936515
-2758369,-1937423418
-11460968,-308974975
-6571410,-12659060
-10063850,902943533
-16506218,395004964
-5317828,2051978806
-10668706,594450919
-7842847,641986990
-11992359,280524311
-2921691,-64796492
-1579072,29616106
-10610414,1755726198
-9320568,216404300
-1756550,526228866
-9643144,1563582987
-11342490,20712004
-12446102,841856618
-15406100,-1038536044
-1700592,-1529860129
-2293850,767623562
-8617551,71467296
-3084964,-432698192
-8804833,-1804484486
-6309167,994811064
-8711854,-1257150215
-397875,875383897
-14340146,204063881
-3327348,-2094237764
-14378894,-1766525299
-278392,-922023324
-14423247,1903327914
-14628209,-141576070
-5934913,2089227174
-13009064,-1686596550
-7731615,-669594392
-3318899,-1570456791
-7198016,-1424534173
-6033566,-1149107622
-3821413,237041553
-7463771,1272070325
-1433820,1169552134
-6940264,1301588914
-10993845,1220322121
-3788562,-1542296759
-12455540,-1841455318
-16010964,513500723
-8489441,2082746168
-4709269,703852358
-14467194,587695631
-4868096,-1756821715
-6020225,-87615033
-7821822,-947242480
-10272852,1874687000
-5386228,-1053299173
-5181610,-1956367582
-16152191,-1605001117
-10668584,1858779763
-4632704,2005165225
-13095039,1590305879
-10593218,1490484149
-3303860,-1568547024
-14669787,-684987155
-7124980,198731159
-4361721,-1575902204
-8870123,1138829771
-7551513,47669854
-8102816,738847595
-181437,-1693348377
-235532,1547184469
-1806343,276195721
-11296363,-703763974
-11252705,1132924682
-11046302,9129260
-2899468,-887792704
-1440245,1505083678
-5880492,-971712197
-4227712,830624147
-2618237,1489329655
-744521,-304814634
-10924819,-877690332
-3356152,1724196206
-264631,-1866383294
-12843699,-1544466186
-12031650,1945124147
-9659307,574887243
-12802811,1615592484
-5755051,1203773749
-11192281,329886545
-10044565,-647178047
-12575534,-38645955
-15849859,781486815
-305128,-635783500
-3852739,-122916815
-3926793,39991167
-12421933,-920947311
-11244209,-1106276819
-5018784,790935926
-1833825,-46284716
-15055050,602278150
-14784704,-1951139625
-11657328,2063105406
-12516915,-1535546712
-8380586,1927977810
-12840416,1380465114
-15102662,346477434
-15815072,691771402
-9282277,-251205231
-14393630,-870944565
-16051204,391635161
-13136557,1869630291
-298742,-1705809784
-7422243,581458472
-11477744,-531745257
-8524182,55978513
-14794728,1212190815
-4616718,-561936486
-5591663,-255658330
-12207817,2070004018
-8690618,2140551522
-11432619,-1871180315
-346132,1830884223
-11239445,1437451773
-3191849,1809507029
-11813581,-1389480147
-3935735,-1283516588
-1525961,1727387702
-6183682,-1372997108
-609296,-76932207
-1244443,-1013998318
-13220335,822512157
-8986649,-195581515
-11103203,433134604
-6807322,-1350500905
-13151144,282910994
-5525995,-427956049
-10156211,1051186660
-13691847,884601935
-5966943,-56621671
-14308502,311336947
-15062785,1927529147
-5959130,-230771926
-13060075,-1397953471
-16502230,-471136212
-3792032,913499215
-16303200,1016840810
-13293888,1323377113
-4661603,1191001100
-16755589,-1036432520
-16346586,1494452505
-11248116,-748140900
-8289690,-1623613851
-1787888,-520689942
-2382971,1587369392
-960514,-1727195690
-7802704,215141154
-12553964,721380946
-3552290,-349652499
-2589396,1565299185
-2494273,-878298824
-14751070,1778050119
-11162231,640842205
-6851362,-162773570
-5480462,1838538043
-4909039,-1517399134
-12397931,-920214871
-2425629,2108776313
-4133333,2112573122
-13710642,-1514771863
-12469325,1817815628
-16018778,887587683
-13501121,-486918293
-7090740,-1877165538
-2720076,1596826928
-13687418,-1929711696
-16152732,515337276
-8309214,809138816
-1606567,-12210541
-39389,-2138178774
-5515586,-1058989441
-4080271,-179575682
-8883796,-2137910657
-6620706,2062556422
-435566,-1183795796
-13743955,1184111583
-14478102,-946283201
-164446,-755708352
-13154668,-262179512
-929254,-1643235297
-7006230,1099686281
-15368905,-309519819
-3981156,243321736
-12417312,-25428408
-10621751,-1656686525
-5378705,-921644964
-5867110,2115829432
-10597234,1081685657
-903539,-85552374
-2323555,737907479
-2682255,-1644427400
-15946906,-1221470908
-9833916,-1405197594
-7743017,983788395
-7056402,-176208171
-16289997,-304084403
-6970542,809555548
-4643188,1852533183
-1905051,31734073
-5722388,-586122719
-6397546,-1104669557
-989792,725982908
-1884918,-1382355009
-2898051,585019156
-13568335,-178402559
-15608647,-1197651317
-14186882,-114414685
-4710534,487626221
-8245137,-349432739
-15902668,-548384582
-8572008,560406237
-15269086,1930629888
-10107719,-495412351
-12581412,-1499446120
-6611188,-765858579
-246186,-1539007629
-16354286,-291851412
-12065844,27053058
-2643476,-1518803956
-16559472,-1558035968
-12038091,2122988384
-14074120,707297243
-10415151,-277924936
-2520155,-1750505056
-10171677,801735725
-7978136,1778969541
-9029971,-1227436963
-5340720,-44218128
-15323945,1463476885
-9669786,146379158
-2120016,778493023
-12564375,631789645
-14436337,962033931
-4498653,320908669
-11423355,1314239337
-7203640,-1556079926
-12635990,-1237155752
-8240386,1726404597
-13523287,-1224480469
-16585943,2125599923
-2016170,-181849583
-11789324,-1049822640
-15861115,-363926222
-7201106,-1070736053
-14970125,-2069355768
-9896750,1043199582
-15911578,1845915852
-16070110,-537258879
-6613072,965397893
-242601,-682281481
-11886157,-914217563
-11903219,-2002045555
-15055983,-186387064
-8300745,-1739322257
-15247898,1208709008
-14664563,-530946054
-15074013,902712429
-3847722,477223556
-11065152,-1667517619
-13005209,1363056752
-7832582,-2087944990
-12372447,-251670040
-14804987,1597393361
-13225232,-1291351816
-5874914,-519662551
-264893,2040611850
-1565848,1766650298
-13481873,-477243699
-12785516,-117319368
-11232223,1631444492
-13690433,-92754520
-11133996,-1723120933
-16566756,1795081411
-13749092,-442823773
-13982920,-1495022086
-10707225,1068085654
-11504674,761407605
-15284295,-1993603649
-224456,1082963836
-10856890,-175087255
-12589065,-2016032983
-10174431,1825308433
-8119737,-1672089169
-12667187,1480858606
-9029359,115710165
-3702096,386884503
-14824016,1585915841
-10233490,-876294563
-3291203,-1312586663
-11434412,680599751
-11921726,940750814
-11059100,-913971943
-9313417,1744373300
-5008400,-179406416
-11022012,-559323917
-10275248,1075261859
-13053866,47704665
-3278352,803824748
-13475350,-1672288532
-14783688,2117518232
-7180107,-632855621
-7967407,337645526
-9981507,-2065499512
-6111656,-638196736
-12962908,-575937056
-12673587,-81887876
-5020788,595279233
-15923453,-954894585
-10249377,1681625688
-8411436,-2135160103
-2117957,-713286464
-9248584,-1087771921
-11310828,-1677711823
-9174181,316903514
-1835297,-97905138
-12817725,1100256679
-6389477,-917432500
-7393382,-1346168696
-14078809,1224896550
-4650714,1055850384
-4188567,1611148429
-12756243,69258669
-9488394,1846546760
-4933021,1782089851
-9011959,968111253
-1187017,-1418236709
-9084587,1426789803
-7378951,1769204813
-13726315,1532585761
-2902403,-1595481252
-5207626,2130129931
-2067522,-1860117178
-12285187,-992575228
-3011705,1076662518
-429115,1821681671
-2401361,-1503587136
-14213144,-1412220821
-6493090,-1249039867
-15263201,-622317194
-11801246,-1691555255
-10976955,621177509
-11945531,1107065241
-4506299,-936241342
-312507,-818509157
-12545119,1637313144
-770312,2042525217
-6893658,126874595
-5443726,1727633400
-3802006,2099011547
-1683259,-1313780918
-10342437,818138208
-12395699,-1638506264
